留言日期,留言标题,留言内容
2023/12/7,允许过法律服务工作者考试的公务员兼职法援中心,"您好，我是工作在乡镇的普通公务员，农民聘不起律师，所以很少选择通过诉讼解决矛盾纠纷。我在乡镇工作三年，给乡村干部讲法三年，今年通过了基层法律服务工作者考试，我想免费为困难群众代理案件，但是根据基层法律服务工作者管理办法，公务员不能在法律援助中心兼职执业，我不想要报酬，只想为老百姓多做点事，社会上有很多公务员通过了基层法律服务工作者考试，也是苦于无法执业。

我建议修改基层法律服务工作者管理办法，允许公务员在法律援助中心兼职，不收取任何报酬，免费为老百姓代理案件，让公务员在法治中国建设中发挥更大的作用。谢谢！"
,非法本法硕法考B证毕业后相当于A证效力的建议,"司法部领导您好：
我是一名非法本法学学硕学生，户籍地在放宽地区，目前已经考过了法考a线。但根据现在的政策，只能拿到法考b证，司法部文件称等我拿到研究生学历学位证书，b证就相当于a证的效力了。司法部的解释很清楚，我也表示接受。但是现实中存在一个问题是，有些求职单位可能只认法考a证，根本不知道b证这个政策，甚至是在报名的时候根本不给我们解释的机会，这会使我们丧失良好的就业机会。我现在还有一年毕业，提出这个问题是想防患于未然，如果领导关注到这个问题，我想是不是可以规定，我们这种情况的考生等拿到研究生毕业证书后，可以直接用b证换成a证，这也少了日后找工作的诸多麻烦。
希望领导可以考虑一下这个问题，非常感谢！"
,让法律专业人员在公立医院有一席之地,"尊敬的部长：
       我国高度重视律师队伍建设，设立公职律师、公司律师、兼职律师和专职律师。但是公职律师只在国家党政机关和人民团体中设立，公司律师在企业，兼职律师在高校，而医院作为公立事业单位却不能申请以上任意一种律师。在推进医疗卫生事业高质量发展中，医院同样面临许多法律问题，医疗纠纷、合同纠纷、人事争议等时有发生，然而许多医院的法律人才却相当的匮乏。因此，建议领导考虑让在公立医院做行政法律事务的工作人员也可以申请公职律师，或者学习同是事业单位的学校，允许申请兼职律师。
       我是一名就职于公立医院的法学专业职工，主要从事医疗纠纷及投诉的调处、依法执业管理等工作，现已工作满10年，2021年通过法律职业资格考试，由于医院无法设立相应的律师岗位等原因导致自身发展受到严重限制。 恳请领导考虑出台相关政策，使跟我面临同样问题的这一类人能继续留在原单位效力。
       此致
敬礼！"
,增设手语律师考核科目，关注特殊人群,聋哑人群体在我国一直占很大一部分，因先天因素让他们在维权交流时举步维艰，司法部能否在原法律职业资格考试不变的情况下，给想帮特殊群体的法律人才增设手语图片电脑考核部分，培养一批能为特殊群体发声的律师人才，用法律的柔情替特殊群体发声。
,建议增加司法鉴定投诉处理的具体解释,建议出台《司法鉴定执业活动投诉处理办法》的具体解释，尤其是“仅对鉴定意见有异议的”的解释，防止属地司法行政部门以此做出“不予受理”的行为。
,推动统一规范治理“醉驾”司法标准,建议全国统一醉驾司法标准，显示法律公平公正.
,建立起全国统一的公证查询,希望能建立一个全国统一的公证网络查询系统，让当事人通过身份证或人脸识别系统，就可以查询在全国任何一个地方办理的公证事项。
,法律进课堂,建议法律早进课堂，从幼儿园就开始教一些相关的法规，法律，让法的知识随着孩子的步步成长也随之加强。让孩子在成长的过程中对法有敬畏，让法对孩子也有威慑。
,法考报名问题,您好！法考考试安排可否改成自愿选择考试日期？由于教师资格证考试也是安排在同一天，法考考试安排是在准考证打印之前就安排好的无法更改考试日期，这样就无法参加教师资格证考试。恳请有关领导关注，在考试日期安排上更加灵活。
,关于严格审核法律援助的建议,目前，对于申请建筑工人工资的法律援助，各司法局均会给予法律援助，但是实际上这部分人收入并非全部属于经济困难的情形，建议对申请法律援助的人员进行严格审核，对于家庭困难的，积极给予法律援助，对于经济不困难的，不应给予法律援助，让更多真正需要法律援助的人，享受国家政策。
,应建立被告所在地地方乡村或街道办民事调解中心,"尊敬的部长，您好

我是一个案子历经十年的当事人，通过我的经历，说说老百姓对司法的建议：

      首先老百姓对法律一知半解，为了公平公开公正的解决纠纷，在开庭前由被告户口所在地或者经常居住地乡村村委或街道办牵头，主动联系被告和原告进行矛盾调解，最后出具调解建议。在调解建议中强制规定调解后x个月内是冷静期，期间不开庭，看双方履行的程度和对此事的态度，如果最后还是水火不容，那么可走正常司法。因为我发现太多案情都是为了赌气，都是在对对方信息不太了解的基础上做出的决定，由此原告被告从熟悉变成陌生。具体流程为：
1、成立乡村或街道办民事调解中心；2、开庭前将民事案件移交被告所在地的调解中心；3、调解中心落实原告、被告所在单位及长辈、朋友；4、调整中心先争取原告被告所在单位的支持或朋友长辈的支持；5、在获得支持后联系原告被告以及单位或者长辈朋友在场开始调解；6、按调解内容开始监督并可更具客观情况更新调解内容，再监督落地；7、在周期内如果无法达到调解内容，可出具调解结论，对于无法调解的允许走司法程序，对于已完成调解内容且不通过诉讼解决的可让原告撤诉；8，成功调解后为原告被告合影，司法部给予调解中心奖励。这样才能彻底化解矛盾。"
,建议明确双学士及联合学士学位的法考报考资格,建议司法部将来在发布法考报名信息时，明确双学士学位复合型人才培养项目、联合学士学位项目的学生，具有写明其中之一专业为法学专业（不分前后）的毕业证书的，可以参加法考。
